animal;selection;estimate;sd;lower_CI;upper_CI
alw;dynamic;0,08;0,07;0,02;0,26
alw;pictures;0,01;0,01;0;0,04
alw;static;0,91;0,07;0,71;0,98
cla;dynamic;0,41;0,14;0,15;0,7
cla;pictures;0,15;0,05;0,07;0,28
cla;static;0,44;0,16;0,14;0,74
bac;dynamic;0,37;0,15;0,11;0,67
bac;pictures;0,2;0,08;0,07;0,37
bac;static;0,43;0,17;0,14;0,8
nil;dynamic;0,64;0,15;0,29;0,87
nil;pictures;0,11;0,04;0,04;0,21
nil;static;0,25;0,15;0,06;0,63
cas;dynamic;0,32;0,15;0,08;0,67
cas;pictures;0,04;0,02;0,01;0,09
cas;static;0,64;0,16;0,27;0,9
ear;dynamic;0,29;0,14;0,08;0,6
ear;pictures;0,12;0,05;0,04;0,23
ear;static;0,59;0,16;0,24;0,86
cur;dynamic;0,25;0,12;0,07;0,53
cur;pictures;0,27;0,1;0,11;0,5
cur;static;0,48;0,16;0,17;0,79
pin;dynamic;0,28;0,14;0,07;0,61
pin;pictures;0,06;0,03;0,02;0,12
pin;static;0,67;0,15;0,31;0,91
der;dynamic;0,22;0,12;0,06;0,5
der;pictures;0,14;0,06;0,05;0,29
der;static;0,64;0,16;0,28;0,88
elm;dynamic;0,13;0,1;0,02;0,39
elm;pictures;0,02;0,02;0,01;0,06
elm;static;0,85;0,11;0,55;0,97
nat;dynamic;0,2;0,13;0,04;0,53
nat;pictures;0,07;0,04;0,02;0,19
nat;static;0,73;0,16;0,32;0,93
vin;dynamic;0,11;0,09;0,02;0,37
vin;pictures;0,04;0,03;0,01;0,12
vin;static;0,85;0,11;0,53;0,97
hei;dynamic;0,06;0,05;0,01;0,18
hei;pictures;0,04;0,03;0,01;0,11
hei;static;0,9;0,07;0,72;0,97
lot;dynamic;0,36;0,14;0,13;0,65
lot;pictures;0,15;0,05;0,07;0,28
lot;static;0,49;0,16;0,18;0,77
pan;dynamic;0,29;0,13;0,09;0,59
pan;pictures;0,13;0,05;0,05;0,25
pan;static;0,58;0,16;0,24;0,84
san;dynamic;0,66;0,14;0,34;0,89
san;pictures;0,03;0,01;0,01;0,07
san;static;0,3;0,14;0,08;0,62